,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9
,mean,std,mean,std,mean,std,mean,std,mean,std
nmax,,,,,,,,,,
11,38.211666666666666,75.19889314714366,41.28333333333333,76.85536018319671,39.498333333333335,75.32867977883494,41.66,77.57994414365976,43.001666666666665,77.95185478158245
12,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,153.46166666666667,81.14231446799015,47.62833333333333,81.75041404924022,0.0,0.0,0.0,0.0
15,0.0,0.0,144.46,86.08605229652474,56.74666666666667,86.59499113048558,0.0,0.0,0.0,0.0
16,0.0,0.0,135.77833333333334,89.58399706730867,48.14833333333333,81.7914807944907,17.885,53.341588918341415,0.0,0.0
17,0.0,0.0,91.31666666666666,95.62027185115582,77.98666666666666,93.73700704038374,32.78,70.53962196288484,0.0,0.0
18,0.0,0.0,172.18333333333334,66.74493530515156,21.108333333333334,59.113365075552345,7.355,36.113787417919134,0.16166666666666665,3.9567070343349364
19,0.0,0.0,180.535,56.407790020528346,15.82,51.12068335484811,4.295,27.29135348420816,0.12333333333333334,2.188177831489528
20,2.8833333333333333,22.503030660088758,179.26,58.08498715962114,11.641666666666667,45.10173607769689,6.931666666666667,34.18733192117925,0.13666666666666666,2.167484461048993
21,0.58,8.73213986756206,91.16,95.93180425003337,107.49833333333333,96.05437694637112,2.276666666666667,20.265573161289034,0.005,0.09115005942583525
22,0.58,9.691074931777868,80.95166666666667,94.73270816999916,118.62333333333333,94.95940249507792,1.0716666666666668,14.116179743668624,0.0033333333333333335,0.057638721552635164
23,0.075,0.8058380730643143,77.255,93.45291136003571,121.63,93.88038364500508,2.61,21.354497574671775,0.02,0.2638181191654582
24,0.008333333333333333,0.20395397084200853,120.08333333333333,94.32726570592149,75.12833333333333,93.54025085788234,5.623333333333333,30.920836376499125,0.6433333333333333,11.095470046625191
25,0.018333333333333333,0.29664325750338855,130.345,91.66692956022902,63.44166666666667,89.5090121936828,7.428333333333334,36.0074741855384,0.2916666666666667,7.138388979470298
26,0.015,0.17731798179165872,145.36166666666668,85.17580366838646,46.55,80.20769393684525,9.821666666666667,40.63528676600635,0.0,0.0
27,0.09666666666666666,1.6064418929906992,139.355,88.50863785529658,44.76833333333333,79.52319156838638,12.081666666666667,45.25094839399022,5.493333333333333,30.901455557231337
28,0.0016666666666666668,0.04079079416840159,78.00333333333333,94.41029245915001,117.26333333333334,95.25369978233002,4.99,29.208045124588775,1.12,14.193388132037724
29,0.008333333333333333,0.0909059342886308,63.461666666666666,88.75149875103854,133.09666666666666,90.1808035128443,3.6633333333333336,24.926826022491458,1.4866666666666666,15.369552874288628
30,0.9533333333333334,12.376772151449325,101.64833333333333,96.66985740423735,94.31333333333333,96.27433972190556,3.2883333333333336,23.782595818978503,1.3183333333333334,15.564393035244128
31,0.33,7.751414924601369,103.27166666666666,96.13050780348328,95.31833333333333,96.037650588483,2.075,18.731596523877446,0.61,9.189916575609761
32,0.041666666666666664,0.525925110849658,96.01,96.70382567406531,86.985,95.44073959793067,17.886666666666667,54.11552909183162,0.9016666666666666,12.308750162204008
33,0.035,0.3565225565561506,101.85833333333333,96.85477925166579,76.925,93.93497418427302,21.675,58.696161501413535,1.37,15.952317490989703
34,0.0033333333333333335,0.05763872155263561,109.36166666666666,96.31204942212004,66.015,91.03373793087178,25.408333333333335,63.59980291286715,1.0233333333333334,12.801410946541194
35,0.0016666666666666668,0.04079079416840146,63.97833333333333,89.53324073896893,122.20666666666666,93.47336851864407,14.878333333333334,49.617572799921874,0.6783333333333333,11.442968607645353
36,0.33666666666666667,8.077333856057951,98.32166666666667,96.32961571546365,92.465,96.23754694331444,8.863333333333333,37.94462617493477,1.8616666666666666,16.293839241327632
37,0.015,0.2968304791178521,98.49166666666666,96.22742123335847,93.815,96.25392169499688,7.348333333333334,35.24817249005803,2.0116666666666667,19.604460305983558
38,0.015,0.36711714751561286,95.53833333333333,95.1808727137735,98.535,95.82514688222462,7.0616666666666665,33.68547457320786,0.8666666666666667,11.520802441188149
39,0.0033333333333333335,0.05763872155263548,110.49333333333334,95.95615294960972,82.08333333333333,94.4762918526242,6.691666666666666,34.1817192451689,2.51,20.625628879301154
40,0.4816666666666667,7.2468152008697135,103.875,95.95950209159417,78.62666666666667,93.81482090918374,18.10333333333333,54.207834509618564,0.995,13.057882995850951
41,0.43833333333333335,8.271206918514803,93.955,96.58419284920943,89.405,95.92655684602357,16.988333333333333,53.31670967488104,0.9883333333333333,13.47583753323778
42,0.008333333333333333,0.10769039986100132,69.59666666666666,92.38263178517684,118.59333333333333,95.32245951972122,11.848333333333333,45.63750647463378,1.3833333333333333,15.530284035465197
43,0.5466666666666666,9.081546613264063,50.458333333333336,83.32287559381447,136.55,89.07177349381394,13.5,46.85911508625261,0.7616666666666667,11.199324260368893
44,0.01,0.12871156384205187,50.125,82.1451319819582,141.155,86.81269670004122,10.131666666666666,41.44471414493734,0.5033333333333333,8.222732041251284
45,0.565,9.745209506897886,48.04,81.74469442518355,136.5,89.41918138744057,12.203333333333333,45.32003223986273,4.46,26.861280684285866
46,0.12166666666666667,2.2368572944100653,53.031666666666666,85.23293962560604,132.515,91.48132655538694,10.74,43.05162482415716,5.161666666666667,30.12754327669095
47,0.77,9.973820732297202,33.45333333333333,70.82253282364029,142.91,85.99512718753307,15.92,51.14831636199451,9.05,39.03123748998986
