,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
510,147.57166666666666,8.512433879658369,4.01,2.1946677804776495,10.841666666666667,3.990814105194856,23.131666666666668,6.361157957129793,51.565,10.900570703713939,237.12,9.753235360638026,4.973333333333334,0.16110727964792707,0.6,0.48989794855663443
520,149.00166666666667,8.490092101319563,3.9516666666666667,2.1854055052145873,10.67,3.947290209751491,22.835,6.355399934963443,51.24666666666667,10.93034715317354,237.705,9.838596190514172,4.971666666666667,0.16592334240713613,0.635,0.4814301610825814
530,150.40333333333334,8.391701588805189,3.8933333333333335,2.1498733812844795,10.485,3.964817145846701,22.481666666666666,6.260431073194736,50.81166666666667,10.891565416514844,238.075,9.73683940848705,4.97,0.17058722109231933,0.6233333333333333,0.4845501923319094
540,151.73666666666668,8.339303861167862,3.8183333333333334,2.1529817824485984,10.261666666666667,3.926388996973623,22.135,6.192746428954876,50.46,10.897785707809334,238.41166666666666,9.575778326358416,4.966666666666667,0.17950549357115053,0.6283333333333333,0.48324999281485415
550,152.94166666666666,8.341358635671343,3.736666666666667,2.1495710166346185,10.048333333333334,3.875048028376188,21.81833333333333,6.178079304192274,50.05833333333333,10.915963717825782,238.60333333333332,9.620775552013576,4.965,0.1837797594948916,0.6716666666666666,0.4696068095285199
560,154.17833333333334,8.377939119430774,3.6666666666666665,2.101322334996599,9.845,3.8311410397774024,21.531666666666666,6.184577368116777,49.70166666666667,11.045179818464804,238.92333333333335,9.71120258029641,4.965,0.1837797594948916,0.6466666666666666,0.47800511387315603
570,155.33833333333334,8.349482851583618,3.575,2.0746987733162605,9.66,3.7825564547450377,21.141666666666666,6.1012236932893655,49.29,11.134147175843028,239.005,9.537031770944246,4.961666666666667,0.19199971064793075,0.655,0.4753682782853704
580,156.47166666666666,8.333218499208787,3.493333333333333,2.035507034841421,9.466666666666667,3.712441544620231,20.81,6.038534590444936,48.93333333333333,11.1496885855864,239.175,9.446041940057933,4.96,0.19595917942265395,0.64,0.47999999999999976
590,157.52166666666668,8.326035304326355,3.421666666666667,2.020032315473087,9.251666666666667,3.692559711395644,20.42,5.976922284922239,48.54666666666667,11.155767815599056,239.16166666666666,9.389117666509224,4.955,0.20730412441627827,0.6883333333333334,0.4631744331842552
600,158.58666666666667,8.357181874824128,3.35,2.0035385363567784,9.058333333333334,3.7024672704682873,20.055,5.965901021639567,48.16,11.197368738532573,239.21,9.364608908011054,4.951666666666667,0.2144696300696714,0.6833333333333333,0.46517619123176235
