,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
200,74.60666666666667,7.6580212123556395,10.415,3.594362484038955,17.175,4.479327516491736,23.075,5.460406730882484,36.483333333333334,6.6062890911279,161.755,6.22320723850117,5.0,0.0,0.24833333333333332,0.43204616522877576
210,77.74333333333334,7.90110470475841,10.591666666666667,3.6544398415565134,17.588333333333335,4.551797874344698,23.66,5.578327108850225,37.72,6.873494986783171,167.30333333333334,6.675177067980228,5.0,0.0,0.26,0.4386342439892259
220,80.685,8.000985876752937,10.781666666666666,3.7023412262452995,18.055,4.708004708295579,24.26,5.705763168352969,38.92166666666667,7.093344102435437,172.70333333333335,7.023436164410951,5.0,0.0,0.29,0.4537620521815384
230,83.66,8.182566834435269,11.025,3.806710084399217,18.423333333333332,4.791046046764966,24.791666666666668,5.868696381840022,40.015,7.272650250539116,177.915,7.185015077692372,5.0,0.0,0.3,0.45825756949558527
240,86.60666666666667,8.302928532886598,11.181666666666667,3.8277927350135132,18.701666666666668,4.917248270685095,25.3,6.016920585593052,41.09166666666667,7.572313421640415,182.88166666666666,7.54150718063408,5.0,0.0,0.31666666666666665,0.4651761912317625
250,89.395,8.433799558917675,11.321666666666667,3.8667209047920132,18.99,5.030231936335871,25.805,6.1865694586472255,42.026666666666664,7.677409864154869,187.53833333333333,7.802896719951016,5.0,0.0,0.3283333333333333,0.4696068095285199
260,92.05666666666667,8.614142763824818,11.441666666666666,3.9505186016803147,19.276666666666667,5.1439403400721995,26.205,6.25643468758365,42.97666666666667,7.842796411711547,191.95666666666668,8.036880959399335,5.0,0.0,0.3516666666666667,0.4774905467359772
270,94.75833333333334,8.781036227133004,11.536666666666667,3.951200942610851,19.466666666666665,5.144468442468623,26.58,6.409648976348084,43.865,8.033685849803526,196.20666666666668,8.168065186376076,5.0,0.0,0.3383333333333333,0.4731425671918419
280,97.345,8.806397769046473,11.585,3.9664562269108714,19.701666666666668,5.2008970914214006,26.988333333333333,6.535405921253518,44.681666666666665,8.256936309686681,200.30166666666668,8.276110029610669,5.0,0.0,0.375,0.4841229182759271
290,100.01833333333333,8.858592658480728,11.641666666666667,3.9681982337355866,19.87,5.242432641436603,27.366666666666667,6.671248425561408,45.415,8.468733179565087,204.31166666666667,8.533143064285023,5.0,0.0,0.38666666666666666,0.4869861964733247
300,102.55333333333333,9.011131387838505,11.661666666666667,3.9883827828108736,20.0,5.329477773040557,27.6,6.721854902728355,46.141666666666666,8.601643092391644,207.95666666666668,8.704680094957853,5.0,0.0,0.3516666666666667,0.4774905467359771
310,104.93666666666667,9.17692698504728,11.663333333333334,4.024092720380854,20.091666666666665,5.401845106586782,27.85333333333333,6.729424608059417,46.76833333333333,8.772380742357743,211.31333333333333,9.02506632785722,5.0,0.0,0.4066666666666667,0.4912116538610307
320,107.22166666666666,9.284352278011763,11.675,4.023187997927349,20.233333333333334,5.415307521790022,28.078333333333333,6.82316133149111,47.28,8.925708188523009,214.48833333333334,9.151677290104923,5.0,0.0,0.4116666666666667,0.4921353698142645
330,109.545,9.293975199020064,11.703333333333333,4.01770940821868,20.298333333333332,5.449709217523037,28.238333333333333,6.826287220899967,47.791666666666664,9.062648466216837,217.57666666666665,9.37874132753905,5.0,0.0,0.4033333333333333,0.4905665658761879
340,111.74166666666666,9.310832251857093,11.675,4.008662495147226,20.343333333333334,5.47437566201744,28.295,6.880502040791311,48.29,9.205391536123463,220.345,9.564655857199808,5.0,0.0,0.4033333333333333,0.4905665658761879
350,113.92166666666667,9.384678855572107,11.631666666666666,4.045902934519767,20.366666666666667,5.504745427558137,28.465,7.0006267576553425,48.77,9.368943376923571,223.155,9.76648904844179,5.0,0.0,0.425,0.4943429983321298
360,116.03166666666667,9.626733465834722,11.57,4.040433145097198,20.333333333333332,5.527406464357607,28.6,7.058092282385274,49.138333333333335,9.4867906703069,225.67333333333335,10.054018544288093,5.0,0.0,0.4266666666666667,0.49459298642643634
370,118.20166666666667,9.729388327239397,11.516666666666667,4.091013186105476,20.32,5.5254803712739164,28.62,7.116806399877218,49.446666666666665,9.59116723287048,228.105,10.356027632897346,5.0,0.0,0.46166666666666667,0.49852838991932624
380,120.20666666666666,9.853964797086617,11.475,4.08403905466145,20.226666666666667,5.489865410210181,28.588333333333335,7.20824971049761,49.70666666666666,9.746997258415314,230.20333333333335,10.26881957946265,5.0,0.0,0.4483333333333333,0.4973233913215366
390,122.11833333333334,9.879827793146093,11.396666666666667,4.0803580997532825,20.141666666666666,5.546914808151366,28.503333333333334,7.2050900217986396,49.905,9.855589361710773,232.065,10.295667778245367,5.0,0.0,0.5016666666666667,0.49999722221450743
400,123.98666666666666,9.836318191048697,11.281666666666666,4.042152548113721,20.013333333333332,5.5145101525178335,28.488333333333333,7.299077377008385,50.06333333333333,10.086425972012531,233.83333333333334,10.441370706100928,5.0,0.0,0.5066666666666667,0.49995555358007265
410,125.86166666666666,9.825266606504318,11.216666666666667,4.05500376763765,19.873333333333335,5.491261745314598,28.421666666666667,7.395980702757111,50.181666666666665,10.209244041009544,235.555,10.591835298946075,5.0,0.0,0.4683333333333333,0.4989962146371688
420,127.67833333333333,9.817070025669047,11.11,4.036652903912681,19.773333333333333,5.568239298816898,28.255,7.397295113756113,50.38,10.289748944135285,237.19666666666666,10.660581076512125,5.0,0.0,0.4866666666666667,0.4998221906060424
430,129.49833333333333,9.876233959471712,11.02,4.028597770937173,19.635,5.561034825761602,28.19,7.431951291551902,50.55,10.429645248041746,238.89333333333335,10.724828928964584,5.0,0.0,0.48,0.4995998398718719
440,131.26666666666668,9.87803399242762,10.881666666666666,3.998457688770627,19.513333333333332,5.564754162484509,28.05,7.4366771253475,50.49666666666667,10.610528838009081,240.20833333333334,10.960608128911263,5.0,0.0,0.52,0.4995998398718719
450,132.90166666666667,9.909355708397777,10.725,3.9836384123060182,19.35333333333333,5.593909386307778,27.876666666666665,7.473383139887561,50.50333333333333,10.711052962036725,241.36,10.964506372837775,5.0,0.0,0.505,0.49997499937496814
460,134.59333333333333,9.951446572679213,10.621666666666666,3.9776706611896495,19.163333333333334,5.580022899196345,27.638333333333332,7.4842633052440295,50.54333333333334,10.77627589764767,242.56,11.040670269508102,5.0,0.0,0.5416666666666666,0.4982608642958903
