,param,value,run,t_max,v_max,t_int,v_int
35,b,2,16,187,0.029625797632564232,1979.0,0.006791329240346311
36,b,2,17,242,0.02859171580379005,6540.0,0.0026797941060281443
37,b,2,18,250,0.03181417232328698,3777.0,0.004144187183900971
38,b,2,19,127,0.02426078456491076,7206.0,0.0026991257299671108
39,b,2,20,294,0.0255572322533828,2916.0,0.006957444643286959
40,b,5,1,104,0.02747924144725955,1916.0,0.0037617942064196437
41,b,5,2,54,0.025162062251856018,1071.0,0.005891968182204278
42,b,5,3,66,0.02970570740610201,1979.0,0.0034389047340548373
43,b,5,4,31,0.028474256664337894,854.0,0.0070059849187873455
44,b,5,5,140,0.025563440103343105,972.0,0.007252060096748725
45,b,5,6,119,0.024383390143639886,660.0,0.007202802395151142
46,b,5,7,119,0.02423967841601815,1300.0,0.004628444222125605
47,b,5,8,98,0.02561638897698604,882.0,0.005144487751309157
48,b,5,9,104,0.033325146460866595,827.0,0.007635453866878804
49,b,5,10,83,0.023478932970823152,827.0,0.009504118889772428
50,b,5,11,58,0.029557246353057117,1037.0,0.007938042848825155
51,b,5,12,154,0.02390417747175944,1480.0,0.005871999506478431
52,b,5,13,64,0.0256143422105386,1739.0,0.0047610170427168095
53,b,5,14,73,0.02886921010831767,854.0,0.007307214142980189
54,b,5,15,115,0.0260462940155346,1300.0,0.005081386653912111
55,b,5,16,119,0.019096397989041947,561.0,0.009957412735461356
56,b,5,17,53,0.026834666019271317,1259.0,0.0052901638172562215
57,b,5,18,80,0.026815438916360623,1433.0,0.005197284475249031
58,b,5,19,335,0.019181809711430464,827.0,0.008909005889229604
59,b,5,20,58,0.01818158446204521,1106.0,0.0051739112970992105
60,b,10,1,62,0.025932220571752932,561.0,0.005031899405487207
61,b,10,2,73,0.022703224038469028,639.0,0.005236831896359373
62,b,10,3,43,0.02761660185729697,801.0,0.0052264445759244715
63,b,10,4,23,0.028528468687384127,882.0,0.004193206364657698
64,b,10,5,42,0.023402993680509358,882.0,0.003873630768982839
65,b,10,6,21,0.03180306017487622,727.0,0.004996954774127094
66,b,10,7,51,0.023200357483705858,448.0,0.006490375972973528
67,b,10,8,27,0.023374319038119484,357.0,0.008128857772023323
68,b,10,9,34,0.024285225922663575,639.0,0.005525866728942397
69,b,10,10,30,0.03190295167682855,324.0,0.008264869430197663
70,b,10,11,34,0.026433357879977137,346.0,0.008445224879888968
71,b,10,12,29,0.02914687757861812,369.0,0.009596692084873126
72,b,10,13,24,0.02821301358597017,314.0,0.010267899538188184
73,b,10,14,54,0.033433663761722965,419.0,0.009134634037744059
74,b,10,15,39,0.023973704727087156,599.0,0.006669522962374329
75,b,10,16,25,0.022815954740833092,335.0,0.0073163572684005205
76,b,10,17,92,0.028912195747950342,285.0,0.008244504239050876
77,b,10,18,21,0.03363644240361685,660.0,0.005541657777228259
78,b,10,19,54,0.024888982765942647,704.0,0.0053104718170668965
79,b,10,20,49,0.02223089291341296,509.0,0.005094111569564408
80,b,20,1,21,0.02497912016687209,181.0,0.0074490477354909315
81,b,20,2,39,0.02690547841503532,164.0,0.00842121732504042
82,b,20,3,13,0.02429058031446241,314.0,0.0074876895170707955
83,b,20,4,24,0.028104221890761668,144.0,0.00943154263484125
84,b,20,5,75,0.028374619463308992,660.0,0.0041932189814812846
85,b,20,6,18,0.02313569869774756,213.0,0.006636460473689265
86,b,20,7,29,0.024588082630375485,267.0,0.006748272503939835
87,b,20,8,13,0.02245626919304877,220.0,0.009204758804951307
88,b,20,9,27,0.030747501152979417,267.0,0.009510097825855546
89,b,20,10,39,0.027899757850772037,242.0,0.00870908570443252
90,b,20,11,25,0.02440076174597161,242.0,0.009048032068606826
91,b,20,12,21,0.02516286631932552,193.0,0.007498980521925436
92,b,20,13,21,0.027927273283602002,381.0,0.004246008748699293
93,b,20,14,45,0.023017797296808414,357.0,0.0064576209864646295
94,b,20,15,24,0.030380944087810224,369.0,0.0038317270635030982
95,b,20,16,23,0.022034025317903886,304.0,0.003569345768276833
96,b,20,17,31,0.0329398661654543,234.0,0.006827411286088214
97,b,20,18,23,0.029629655177476174,346.0,0.005863649611009159
98,b,20,19,15,0.029151590709925568,369.0,0.005525163044544534
99,b,20,20,38,0.030136761438308124,135.0,0.011045042670373206
100,b,50,1,18,0.033778128988025465,135.0,0.008000327818155295
101,b,50,2,5,0.041944995934230615,95.0,0.01006811541998287
102,b,50,3,17,0.03167889787759082,119.0,0.006922723644689821
