gamma,eta,zeta,jsd_phis,jsd_alpha_mphi,entropy_mphi,std_jsd_phis,std_alpha_mphi,pearson_r,pearson_r_p_value,jsd_mphi_psi,entropy_psi,jsd_psi_alpha,jsd_psi_slices,gamma,eta,zeta,reflectance,coherence,synonymy
1,1,2,0.001012744316958311,0.00015386143413342881,0.8708921752021096,0.0006312075373418947,3.3008465528625516e-05,0.16150002533523686,0.1446709834167412,0.016297334245406248,0.7944331510810406,0.016470365048449676,0.0012865067209800374,1,1,2,0.9998461385658666,0.9989872556830417,0.8708921752021096
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00042428450667950015,2.1743560976574846e-05,-0.028614923423661294,0.7973383187360633,0.0168308392470653,0.7945120713552352,0.016454040821360927,0.0013551849943569173,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.0005031290286459389,2.6123802446997532e-05,-0.15297128833855758,0.16738964543142426,0.016092472924646994,0.794940254533558,0.016261397985180004,0.0013043098756447768,1,1,2,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,2,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.0006313179188459332,3.2996289103284275e-05,0.04392242607095547,0.6933786538814013,0.015994965077385626,0.7951272442214325,0.016160667445129118,0.001258724364818797,1,1,2,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00041645795250038283,2.157584945773694e-05,-0.009797089440216558,0.9299528171504742,0.016162303799796884,0.7948007840958773,0.01632873257230605,0.0013815688605313312,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0006839778841776977,3.5876282480190545e-05,0.05495663578209092,0.6216884119168096,0.016170327947602647,0.7947286897302506,0.016339558473681848,0.001330121805649364,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.000571031402219217,2.981783874748937e-05,0.06268513212762702,0.5734471947497015,0.016394138804792124,0.7941753838584823,0.016572127152418847,0.0012415137624898892,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0004181813084238646,2.1613481800062125e-05,0.012088404221854162,0.9136273646558124,0.016016930804533036,0.7951352141517772,0.016195886419752004,0.0013591409269735164,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005724795045554008,2.9816694617232196e-05,0.02715849774969864,0.8074490333948086,0.015789510396458706,0.7956416871929383,0.015975284821839075,0.0013105809213961482,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005075840768099159,2.6176198677680723e-05,-0.0693371169920121,0.5333755458062366,0.015903309542958155,0.7953867423142326,0.016070316914420957,0.0013307884281221216,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005000615165780828,2.6075275327878908e-05,-0.033647079658523496,0.7626702626830597,0.01547009690863721,0.796458161483295,0.015638541219037183,0.001390464143751943,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005063451237133554,2.616533015249517e-05,0.1160046648229946,0.2963208441174859,0.015949486343624475,0.795312449278726,0.01612625092284681,0.0013083762267841175,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005715680314205463,2.9818901820573223e-05,0.1822313955807042,0.0991749249229533,0.01793323101481592,0.7933119316407613,0.016977954919458416,0.0013015644537211137,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0004164579525002792,2.157584945773694e-05,-0.012929646786854005,0.90764217473723,0.016401209110205258,0.7941948141944464,0.01656599728858721,0.0012346640314502544,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005704406467656898,2.9815331088601856e-05,0.10673561254355307,0.3368501026336341,0.016104215306723457,0.7949610586520687,0.016262353958096387,0.0012586348405121098,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0005710314022192338,2.981783874751295e-05,0.03411683782417307,0.7594565160784538,0.01598639028462889,0.7951594192166798,0.01617125431503164,0.0013489312968895434,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00042138916917087814,2.1682592156075148e-05,-0.2188663824371802,0.04682274442070557,0.016286392986844866,0.7956814324243944,0.015956207209210316,0.0012528414467922922,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0004127674034162316,2.1494376569507525e-05,0.02043306449789004,0.8545233700402003,0.01603534549994512,0.7962691318821655,0.01568868344111829,0.0012800168815964787,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,2,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00042138916917086654,2.168259215604195e-05,-0.07072316144356049,0.5252044450369127,0.015353366145051341,0.7967185660789641,0.015497247390418691,0.0012885728335843773,1,1,2,0.9999842391590907,0.9998406203907165,0.8685471361510304
