,num_unique_words,num_unique_words,num_words,num_words,successes,successes
,mean,std,mean,std,mean,std
8200,1.095,0.42736596339280897,201.17833333333334,7.776237129157557,0.9966666666666667,0.05763872155263562
8300,1.085,0.3972090129893848,201.04333333333332,7.113001398065938,0.995,0.07053367989832922
8400,1.0783333333333334,0.3858288336670633,200.90666666666667,6.238158560202101,0.995,0.07053367989832948
8500,1.0683333333333334,0.3420485670518488,200.81833333333333,6.349172955765301,0.9966666666666667,0.05763872155263543
8600,1.06,0.32619012860600016,200.735,6.158850677412726,0.9966666666666667,0.057638721552635386
8700,1.05,0.306865877325366,200.60333333333332,5.191915724363083,0.9966666666666667,0.057638721552635136
8800,1.0483333333333333,0.30440743895130157,200.54333333333332,5.015787298343329,0.995,0.07053367989832923
8900,1.04,0.27398296784046217,200.52666666666667,5.283555200388774,1.0,0.0
9000,1.04,0.27398296784046217,200.46833333333333,4.669653508440323,0.9966666666666667,0.057638721552635344
9100,1.035,0.25905276167864627,200.44,4.87781371791367,0.9966666666666667,0.05763872155263554
9200,1.0333333333333334,0.25603819159561814,200.41166666666666,4.477967979142137,1.0,0.0
9300,1.0316666666666667,0.252976722688516,200.33166666666668,3.951159815660316,0.9983333333333333,0.04079079416840159
9400,1.0283333333333333,0.2467060779326067,200.31166666666667,3.6798365754775433,0.9933333333333333,0.08137703743822411
9500,1.0233333333333334,0.1986342255391929,200.25833333333333,3.1050921439181316,0.9983333333333333,0.04079079416840143
9600,1.0216666666666667,0.19458645607772668,200.25,3.143379285630885,1.0,0.0
9700,1.02,0.1814754345175488,200.23166666666665,2.9840683452107695,0.9983333333333333,0.04079079416840159
9800,1.02,0.1814754345175488,200.205,2.681972222078364,0.9983333333333333,0.04079079416840147
9900,1.0166666666666666,0.1624465724134819,200.15333333333334,2.0647410383763565,0.9983333333333333,0.04079079416840159
