,num_unique_words,num_unique_words,num_words,num_words,successes,successes
,mean,std,mean,std,mean,std
0,1.0,0.0,1.9933333333333334,0.08137703743822432,0.006666666666666667,0.08137703743822432
100,63.99166666666667,4.004363938949047,163.89166666666668,4.20038854022921,0.011666666666666667,0.1073804244522967
200,87.24,4.665018756661111,284.2416666666667,5.593144365103489,0.013333333333333334,0.11469767022723583
300,95.61666666666666,5.007633062524537,386.2583333333333,7.425963274589738,0.021666666666666667,0.14559265854507356
400,98.6,5.09640396096437,478.12666666666667,10.050404082534309,0.028333333333333332,0.1659233424071364
500,99.64833333333333,5.001466173922293,561.7566666666667,13.142454954163725,0.03666666666666667,0.1879420714534742
600,99.94666666666667,5.018348555274166,638.455,17.64675536748896,0.03666666666666667,0.18794207145347375
700,99.955,5.0953876201914206,708.1566666666666,22.317902878381943,0.07166666666666667,0.25793517704174307
800,99.88666666666667,5.092853380528003,769.9083333333333,26.03062165774933,0.065,0.24652586071242158
900,99.71333333333334,5.108929002790663,823.43,32.314059375654644,0.055,0.22798026230356058
1000,99.44,5.123449358911761,867.9766666666667,38.12644911635785,0.07,0.2551470164434603
1100,99.15333333333334,5.086238514090963,904.25,43.53363642058862,0.07666666666666666,0.2660618140374306
1200,98.79833333333333,5.123897984499254,933.945,49.25310793916123,0.08166666666666667,0.2738562072004632
1300,98.42166666666667,5.145923683417346,955.0733333333334,53.47779559987699,0.08,0.2712931993250099
1400,97.965,5.187206216580688,970.6733333333333,59.31376980844238,0.10666666666666667,0.3086889840744081
1500,97.435,5.278804315372947,980.4066666666666,65.70323144429214,0.1,0.2999999999999998
1600,96.83,5.3101569342785595,983.9866666666667,68.57793490296683,0.10333333333333333,0.30439375084839776
1700,96.115,5.382233891858161,982.785,74.12095143524986,0.10333333333333333,0.3043937508483978
1800,95.36333333333333,5.456615760300112,976.7083333333334,80.23594329988424,0.11,0.31288975694323773
1900,94.52,5.618089829589172,966.615,82.93644218114656,0.10833333333333334,0.3108009366495264
2000,93.48833333333333,5.809176409402245,952.4916666666667,87.48129284151109,0.14,0.34698703145794735
2100,92.35666666666667,6.0884690650076845,937.8883333333333,95.64308232811311,0.14333333333333334,0.3504124553849205
2200,91.01,6.373897290250816,918.8,102.02060249446359,0.14,0.3469870314579475
2300,89.55,6.643355076064107,899.0283333333333,106.02223444741303,0.15666666666666668,0.3634862063713317
2400,87.905,7.029649706777714,874.305,111.40397348538937,0.17,0.3756327994198572
2500,86.07333333333334,7.416285383457736,848.6483333333333,118.08690866146941,0.2,0.40000000000000147
2600,84.125,8.003710077207945,820.8833333333333,125.44274811863603,0.16666666666666666,0.3726779962499633
2700,81.98833333333333,8.795540378825823,790.7566666666667,130.96128227669257,0.20333333333333334,0.4024784328245316
2800,79.47333333333333,9.613841872818353,760.9666666666667,135.7842119770271,0.24333333333333335,0.42909465415246356
2900,76.75333333333333,10.593196978354658,729.2683333333333,142.1304905027614,0.215,0.4108223460329315
3000,73.795,11.507518194641277,697.0133333333333,145.9086923006608,0.25333333333333335,0.43492017147466727
3100,70.66333333333333,12.35610465406562,665.8916666666667,150.7858302269223,0.2816666666666667,0.44981168899391333
3200,67.28,13.358328238718101,633.795,154.85291830744862,0.32166666666666666,0.46711585524602084
3300,63.593333333333334,14.452380042362874,601.065,157.067281045417,0.335,0.4719904660054034
3400,59.9,15.091277834122172,569.7916666666666,156.69968601507236,0.355,0.47851332269854263
3500,56.31666666666667,15.65448994875131,540.4383333333334,156.15644782468073,0.36333333333333334,0.48095968877050477
3600,52.343333333333334,16.34621634779404,510.7783333333333,155.5001903446495,0.4216666666666667,0.49382576774494813
3700,48.46333333333333,16.630453658541285,482.3516666666667,152.57210753352734,0.48333333333333334,0.4997221450188336
