,minimal,minimal,minimal,minimal,minimal,minimal,frequency,frequency,frequency,frequency,frequency,frequency,li1,li1,li1,li1,li1,li1,li2,li2,li2,li2,li2,li2,li3,li3,li3,li3,li3,li3
,num_unique_words,num_unique_words,num_words,num_words,successes,successes,num_unique_words,num_unique_words,num_words,num_words,successes,successes,num_unique_words,num_unique_words,num_words,num_words,successes,successes,num_unique_words,num_unique_words,num_words,num_words,successes,successes,num_unique_words,num_unique_words,num_words,num_words,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
100,63.52333333333333,3.778375606291972,164.11666666666667,3.815283592197159,0.006666666666666667,0.08137703743822478,63.75,3.9825661743822076,164.47666666666666,4.053326480257365,0.01,0.09949874371066234,63.94,3.8091643878065033,164.50666666666666,3.9391143956760453,0.006666666666666667,0.08137703743822479,63.58,3.7314340406873043,164.15,3.9783790669065233,0.0033333333333333335,0.05763872155263501,63.92,3.7292000929600624,162.28,4.410774686303228,0.0,0.0
200,86.63666666666667,4.760741072097449,284.81,5.585149953224174,0.006666666666666667,0.08137703743822455,86.75333333333333,4.7950483719029195,286.4266666666667,5.058783340773638,0.013333333333333334,0.11469767022723458,86.53333333333333,4.750672467018635,284.7033333333333,5.411899440635938,0.0033333333333333335,0.05763872155263508,86.52333333333333,5.007606436434697,284.64666666666665,6.09604972274851,0.01,0.09949874371066206,88.62,4.7034313715272456,278.18666666666667,5.942936049537207,0.01,0.09949874371066204
300,95.18333333333334,5.142929342526713,387.8066666666667,7.597979263520586,0.04666666666666667,0.2109238935940851,95.26333333333334,5.0346124202586,393.25666666666666,5.5000717167041495,0.02,0.13999999999999987,94.98333333333333,5.188100701498466,387.35333333333335,7.251792115669675,0.016666666666666666,0.12801909579781032,95.18333333333334,5.080326979852997,387.1166666666667,8.303998367587079,0.0033333333333333335,0.057638721552635025,100.5,5.067214882622077,378.5733333333333,6.780704650370459,0.016666666666666666,0.12801909579781032
400,98.17,5.202028450518125,480.68333333333334,10.453215879442181,0.02666666666666667,0.16110727964792798,98.47333333333333,5.159711447573614,493.7033333333333,5.971765977404751,0.02666666666666667,0.16110727964792795,97.86,5.136185354910784,480.44,10.080992014677916,0.023333333333333334,0.1509598916563234,98.50333333333333,5.157194543116982,479.43333333333334,11.118702961926603,0.043333333333333335,0.2036063740543398,107.58,5.428038319687879,472.99333333333334,7.1390911341866286,0.02,0.1399999999999999
500,99.33666666666667,5.212483946151669,567.4,13.704986926906086,0.016666666666666666,0.1280190957978103,99.66666666666667,5.1963662517399785,591.5866666666667,6.5454173960786415,0.056666666666666664,0.23120457511813197,98.85,5.101715397785338,565.5233333333333,13.443813529732637,0.03,0.17058722109231922,99.88666666666667,5.294697557200243,564.1,14.825765859925536,0.03,0.17058722109231952,112.5,5.726255320888163,565.41,8.611343294360836,0.023333333333333334,0.1509598916563234
600,99.71333333333334,5.3145544393569715,644.8566666666667,18.24909465029856,0.02666666666666667,0.16110727964792812,100.08666666666667,5.122416964242127,687.7433333333333,7.05673122313409,0.06,0.23748684174075838,99.22,5.096887939386804,642.2133333333334,18.41777643715138,0.05333333333333334,0.2246973272847036,100.61,5.35268468465436,641.36,18.04818735127344,0.043333333333333335,0.2036063740543396,116.1,5.915798058306814,656.11,9.586339238729247,0.03333333333333333,0.17950549357115045
700,99.80666666666667,5.3200208855062,714.3633333333333,21.893179810667572,0.04,0.1959591794226539,100.26333333333334,5.143344134790985,782.8266666666667,7.978927803213211,0.056666666666666664,0.2312045751181316,99.31333333333333,5.084140919456193,712.6733333333333,21.99348287308968,0.04,0.19595917942265398,100.95,5.380907606219108,709.65,24.349007508862996,0.056666666666666664,0.23120457511813147,118.95333333333333,6.058973143656898,745.14,11.325210814814884,0.06,0.23748684174075838
800,99.75333333333333,5.362756339379548,776.5766666666667,25.613748695226608,0.04666666666666667,0.21092389359408506,100.32333333333334,5.119126444575827,876.7966666666666,8.561658068907501,0.04,0.19595917942265392,99.2,5.121197776562301,774.2166666666667,28.36634841184572,0.06,0.2374868417407584,101.12666666666667,5.420696962158608,771.87,29.43059236010492,0.07333333333333333,0.26068286394689494,121.10666666666667,6.168356525219841,831.3233333333334,12.99636316649991,0.04,0.19595917942265392
900,99.59333333333333,5.354869020080902,830.0533333333333,30.25894615187749,0.06666666666666667,0.24944382578493013,100.34,5.122928849788957,969.3466666666667,9.62980558243808,0.09666666666666666,0.29550333707459586,99.03,5.068441575080056,827.7666666666667,34.45507542035313,0.05333333333333334,0.22469732728470387,101.14333333333333,5.504796898059809,823.99,36.48355657004949,0.056666666666666664,0.23120457511813186,122.78,6.237381929410232,915.73,16.306760356776365,0.03666666666666667,0.1879420714534728
1000,99.38666666666667,5.356350332912225,874.55,36.241332297070244,0.06,0.23748684174075832,100.34666666666666,5.125084281149816,1060.8366666666666,11.070530951835838,0.09666666666666666,0.29550333707459586,98.78,5.143759973663882,870.1,42.095011580946256,0.07,0.25514701644346066,101.06333333333333,5.5742852057959436,867.7366666666667,40.08367068465107,0.056666666666666664,0.2312045751181316,124.19333333333333,6.310516795177887,997.5833333333334,18.402256806042985,0.03666666666666667,0.18794207145347344
