,B=1,B=1,B=1,B=1,B=1,B=1,B=5,B=5,B=5,B=5,B=5,B=5,B=10,B=10,B=10,B=10,B=10,B=10,B=15,B=15,B=15,B=15,B=15,B=15,B=20,B=20,B=20,B=20,B=20,B=20,B=25,B=25,B=25,B=25,B=25,B=25,B=30,B=30,B=30,B=30,B=30,B=30
,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
80,66.49333333333334,2.825471445420909,1.0,0.0,0.3533333333333333,0.4780051138731554,71.73333333333333,2.8882905363245963,2.9833333333333334,0.12801909579781032,0.21,0.407308237088326,74.73666666666666,2.6026887806437555,4.943333333333333,0.2312045751181317,0.12666666666666668,0.33259919155377066,76.34666666666666,2.2803118695086946,7.253333333333333,0.665198383107542,0.09333333333333334,0.2908989897236192,77.45666666666666,2.1074761103166852,9.09,0.8094648437908449,0.06666666666666668,0.24944382578493,77.76,2.0499756096110007,11.043333333333333,0.9100122099302946,0.03,0.17058722109231944,78.32333333333334,1.8052115911684383,12.666666666666664,1.181336343111289,0.04666666666666667,0.2109238935940851
90,72.91666666666667,3.1363017853658315,1.0,0.0,0.31,0.4624932431938874,79.29,3.1452450884893937,2.986666666666667,0.11469767022723465,0.20666666666666667,0.4049142570416048,82.94333333333333,2.9303223182593525,4.953333333333333,0.2109238935940851,0.16333333333333333,0.3696695220809463,85.06666666666666,2.64743062022197,7.316666666666666,0.6400954789890514,0.11333333333333333,0.31699982474583244,86.35333333333334,2.400379599609656,9.17,0.7709950280859987,0.07666666666666666,0.2660618140374308,86.87333333333332,2.2384419184384017,11.176666666666666,0.8710848918956673,0.06333333333333334,0.2435615368284215,87.48666666666666,2.205256346902903,12.936666666666667,1.0859660317994364,0.07,0.2551470164434605
100,79.05333333333333,3.27675991728957,1.0,0.0,0.4033333333333333,0.4905665658761873,86.53,3.469260247756958,2.99,0.0994987437106624,0.2533333333333333,0.4349201714746699,90.87333333333332,3.2389230034414505,4.963333333333333,0.1879420714534732,0.19333333333333333,0.3949120858565303,93.61333333333332,2.8977845944023466,7.353333333333333,0.6286139956726663,0.10666666666666667,0.3086889840744058,94.98333333333332,2.592885565457056,9.236666666666666,0.7169301841106186,0.09,0.2861817604250835,95.85,2.578274616870749,11.29,0.8597867952773729,0.05666666666666665,0.23120457511813164,96.49333333333334,2.4474385703333974,13.11,1.069844225421003,0.07666666666666666,0.26606181403743123
110,84.99,3.5350483259308727,1.0,0.0,0.4166666666666667,0.4930066485916356,93.33666666666667,3.9272537761420767,2.99,0.0994987437106624,0.27,0.4439594576084613,98.67,3.533803427847489,4.97,0.17058722109231952,0.16333333333333333,0.3696695220809463,101.91333333333333,3.2912746602021627,7.396666666666666,0.6158914045692011,0.12,0.3249615361854376,103.54333333333334,3.0399762425972257,9.3,0.7047458170621996,0.06666666666666668,0.24944382578493005,104.65,3.0725939096036297,11.38,0.8300200800783871,0.06333333333333334,0.2435615368284212,105.39666666666666,2.7103484810793024,13.236666666666665,1.0491213254698213,0.07666666666666666,0.2660618140374313
120,90.72333333333331,3.6092643140796565,1.0,0.0,0.43333333333333335,0.4955356249106158,100.08,4.241886372829899,2.99,0.09949874371066217,0.29,0.4537620521815369,106.16666666666669,3.886586620101959,4.97,0.1705872210923196,0.19666666666666666,0.3974781615244907,109.94333333333331,3.6064926020843084,7.423333333333333,0.592274335835085,0.15666666666666668,0.3634862063713317,111.85,3.4757493196911278,9.363333333333333,0.6668249812023799,0.10666666666666667,0.3086889840744059,113.27333333333333,3.3811175009980885,11.453333333333333,0.8212727250365078,0.10333333333333332,0.3043937508483975,114.15,2.8543825952384188,13.32,1.0380751417888774,0.07333333333333332,0.26068286394689505
130,96.07666666666668,3.691989827842012,1.0,0.0,0.5033333333333333,0.4999888887654293,106.46666666666668,4.459696053419886,2.993333333333333,0.08137703743822483,0.30666666666666664,0.4611097724210822,113.45,4.314413826543142,4.973333333333334,0.1611072796479278,0.19666666666666666,0.3974781615244907,117.69,4.014212251488457,7.4433333333333325,0.5716545188213655,0.14333333333333334,0.3504124553849203,120.09333333333332,3.7190440826762052,9.4,0.6582805886043831,0.12333333333333335,0.3288194371113451,121.60666666666668,3.7619084990939813,11.513333333333335,0.8265322471359218,0.08,0.27129319932500984,122.66666666666669,3.2744804507314167,13.393333333333333,0.9892533660403806,0.08333333333333333,0.2763853991962833
140,101.25333333333332,3.9356264502052967,1.0,0.0,0.4533333333333333,0.497817458735852,112.71333333333334,4.584519846420367,2.993333333333333,0.08137703743822483,0.3033333333333333,0.4596979684773719,120.47333333333331,4.532396962118631,4.973333333333334,0.1611072796479278,0.21666666666666667,0.4119735698102753,125.29666666666668,4.354536587156996,7.473333333333334,0.5620992399528353,0.17333333333333334,0.37853518844209016,128.1266666666667,3.877794332979621,9.436666666666667,0.6212800406329576,0.09666666666666666,0.29550333707459586,130.05666666666667,4.035689394501124,11.563333333333333,0.8160814229529364,0.13,0.3363034344160045,131.20666666666668,3.680211346588069,13.46,0.9425497334358536,0.09,0.2861817604250833
150,106.27,4.06986076747924,1.0,0.0,0.4966666666666666,0.4999888887654292,118.42333333333332,4.968311808071454,2.9966666666666666,0.057638721552635115,0.37666666666666665,0.4845501923319082,127.33,4.871115546429447,4.973333333333334,0.1611072796479278,0.21,0.407308237088326,132.52,4.8596570523717695,7.51,0.5506662631152668,0.17333333333333334,0.37853518844209016,135.91333333333333,4.20703643382792,9.466666666666667,0.6018490028422607,0.15333333333333332,0.36030850978324536,138.27333333333334,4.551038953421021,11.62,0.809691299199886,0.08,0.2712931993250101,139.49333333333334,4.0211883262980335,13.556666666666667,0.9202113283854348,0.13666666666666666,0.34349510751812606
160,110.87333333333332,4.180584754419993,1.0,0.0,0.5166666666666667,0.4997221450188325,123.87,5.2807606775286935,2.9966666666666666,0.05763872155263506,0.3433333333333333,0.4748216039267335,133.83666666666667,5.170105307330683,4.976666666666667,0.1509598916563234,0.26666666666666666,0.4422166387140519,139.67666666666668,5.277510987408956,7.526666666666666,0.5440179735592889,0.17,0.375632799419859,143.45333333333338,4.5695903050006095,9.486666666666666,0.6026238922873507,0.13333333333333333,0.3399346342395185,146.26666666666668,4.847221426297292,11.663333333333336,0.797906984275459,0.13666666666666666,0.3434951075181257,147.66333333333333,4.4290693780472115,13.61,0.9080565327481888,0.14333333333333334,0.35041245538491994
170,115.32,4.426164630166097,1.0,0.0,0.56,0.4963869458396338,129.01333333333332,5.56954416646662,2.9966666666666666,0.05763872155263506,0.39666666666666667,0.4892057054268921,140.07666666666665,5.407167054526389,4.976666666666667,0.1509598916563234,0.2533333333333333,0.4349201714746697,146.48333333333332,5.6068162881343735,7.5233333333333325,0.5441711332129109,0.2,0.39999999999999947,150.6233333333333,4.962672890914952,9.51,0.5858611894752307,0.16333333333333333,0.3696695220809463,153.9,5.257058746739158,11.696666666666667,0.7987420665577145,0.14333333333333334,0.35041245538491994,155.76,4.706987713318712,13.663333333333336,0.8774901075732364,0.09666666666666666,0.29550333707459586
