,B=1,B=1,B=1,B=1,B=1,B=1,B=5,B=5,B=5,B=5,B=5,B=5,B=10,B=10,B=10,B=10,B=10,B=10,B=15,B=15,B=15,B=15,B=15,B=15,B=20,B=20,B=20,B=20,B=20,B=20,B=25,B=25,B=25,B=25,B=25,B=25,B=30,B=30,B=30,B=30,B=30,B=30
,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
750,195.41333333333333,1.9155039951813075,1.0,0.0,0.9666666666666668,0.17950549357115045,209.56333333333333,4.886647339661646,2.9066666666666667,0.2908989897236193,0.9133333333333332,0.2813459712801221,235.1,8.797537534257337,4.86,0.34698703145794924,0.7733333333333333,0.4186751591495367,257.9766666666667,12.337859980113606,7.176666666666668,0.6624114196546494,0.6133333333333333,0.4869861964733242,280.2266666666667,13.938745360405367,9.13,0.7116412954103596,0.56,0.4963869458396337,299.06,17.05431714649794,11.326666666666664,0.8793684602536573,0.4533333333333333,0.49781745873585204,317.46666666666664,18.414004332451846,13.23,0.9783148777362012,0.4166666666666667,0.4930066485916356
760,195.69,1.8887120832284947,1.0,0.0,0.9666666666666668,0.17950549357115042,209.36,4.7843912883458914,2.9066666666666667,0.2908989897236193,0.92,0.27129319932500995,234.55666666666667,8.798112802691776,4.85,0.3570714214271431,0.77,0.4208325082500168,257.3,12.408464852672145,7.16,0.6540132516496382,0.6633333333333333,0.4725698067187768,279.89,14.048175444994033,9.11,0.7242697471706714,0.5433333333333333,0.4981186828680704,298.33,16.70152987004484,11.3,0.8888194417315598,0.46,0.4983974317750849,316.63666666666666,18.682736832583057,13.203333333333333,0.9842030052563101,0.4733333333333333,0.4992883824894078
770,195.9033333333333,1.8368420968850012,1.0,0.0,0.98,0.13999999999999985,209.31666666666663,4.743738563154124,2.9,0.3000000000000009,0.9333333333333332,0.2494438257849301,234.13666666666663,8.79533904343027,4.846666666666667,0.3603085097832449,0.7633333333333333,0.4250359461922667,256.70666666666665,12.382270479286994,7.14,0.6535033792312515,0.6133333333333333,0.4869861964733242,279.03,14.161535933647869,9.066666666666666,0.7586537784494009,0.5466666666666666,0.49781745873585204,297.61,17.034217524343955,11.25,0.9133272505880172,0.5433333333333333,0.4981186828680703,316.0133333333333,18.948522076639332,13.183333333333335,0.9948478387282244,0.44666666666666666,0.4971474183333908
780,196.06666666666663,1.8226964152656369,1.0,0.0,0.9666666666666668,0.17950549357115034,209.17333333333332,4.680807147870495,2.8833333333333333,0.32102267140430313,0.8966666666666666,0.3043937508483977,233.70333333333332,8.879301148676564,4.84,0.3666060555964669,0.8233333333333334,0.3813863599495349,256.05,12.449129822334303,7.12,0.6472505954677309,0.67,0.4702127178203496,278.14,13.891738552103545,9.053333333333333,0.7597075460699039,0.6266666666666667,0.4836895239257874,296.9033333333333,17.15597045410787,11.216666666666667,0.9254128207934504,0.51,0.4998999899979989,315.1566666666667,18.97539078795363,13.166666666666664,0.9826268648655779,0.5066666666666667,0.4999555535800718
790,196.25,1.8223153770226856,1.0,0.0,0.9933333333333332,0.08137703743822483,208.95333333333332,4.612788985225991,2.873333333333333,0.33259919155377043,0.9233333333333332,0.2660618140374311,233.1833333333333,8.907471894738464,4.833333333333333,0.3726779962499654,0.8033333333333333,0.3974781615244907,255.3233333333333,12.489413739465736,7.09,0.6597221637426881,0.7066666666666667,0.4552898954390377,277.12666666666667,13.689556441154533,9.03,0.7587929010386613,0.5933333333333334,0.4912116538610307,296.1666666666667,16.960902753751697,11.2,0.94162979278837,0.54,0.4983974317750846,314.2266666666667,19.16773214429801,13.13,0.9998833265269842,0.5066666666666667,0.4999555535800722
800,196.4333333333333,1.8381754238616343,1.0,0.0,0.9933333333333332,0.08137703743822479,208.84666666666664,4.562509056307603,2.8666666666666667,0.33993463423951864,0.9133333333333332,0.281345971280122,232.66666666666663,8.788376161473488,4.833333333333333,0.3726779962499654,0.7766666666666666,0.4164799581679243,254.61333333333332,12.587447009708614,7.08,0.6685307272918228,0.6266666666666667,0.4836895239257876,276.1066666666667,13.84396218171983,9.0,0.7659416862050705,0.5733333333333334,0.4945929864264369,295.3333333333333,17.12567922416185,11.163333333333336,0.9433922243101708,0.51,0.4998999899979988,313.06333333333333,19.199635123847766,13.09,1.0108906963663304,0.5033333333333333,0.4999888887654292
810,196.6533333333333,1.7962429927181058,1.0,0.0,0.9866666666666668,0.1146976702272347,208.69666666666663,4.565594764710902,2.86,0.3469870314579493,0.9066666666666666,0.2908989897236193,232.2733333333333,8.798785269696165,4.8133333333333335,0.3981066300488968,0.77,0.42083250825001695,253.88666666666663,12.652028383710736,7.0566666666666675,0.6733910866320973,0.6733333333333333,0.4689941956523072,275.18,13.978588388436556,8.96,0.7735631842325486,0.5666666666666667,0.4955356249106158,294.43666666666667,16.99135041392793,11.143333333333333,0.9360140074925302,0.53,0.49909918853871205,311.9866666666667,19.370075431505725,13.04,1.0352455425324634,0.5,0.5
820,196.82,1.7361643547391152,1.0,0.0,0.99,0.09949874371066224,208.51,4.5354051638194415,2.8466666666666667,0.3603085097832452,0.92,0.2712931993250101,231.85,8.54132113122242,4.81,0.4007077072713555,0.78,0.4142463035441603,253.22666666666663,12.835703677200131,7.0166666666666675,0.6853628398317367,0.6633333333333333,0.4725698067187767,274.4433333333333,14.393289717395707,8.933333333333334,0.7845734863959865,0.6033333333333334,0.4892057054268924,293.4766666666667,16.873928278725018,11.103333333333332,0.9412698278861856,0.5333333333333333,0.4988876515698594,310.98,19.15984342315981,12.983333333333333,1.043897610985972,0.5366666666666666,0.4986537431480448
830,196.96666666666667,1.7104255480889996,1.0,0.0,0.9866666666666668,0.11469767022723484,208.35,4.506384359994161,2.84,0.3666060555964668,0.9266666666666666,0.260682863946895,231.33666666666667,8.659676026785812,4.81,0.4007077072713555,0.8066666666666666,0.3949120858565303,252.38333333333333,12.815214482099869,6.963333333333333,0.7178594724750944,0.7133333333333334,0.4522044768563103,273.3533333333333,14.3759691460746,8.896666666666668,0.7911945960943418,0.6133333333333333,0.4869861964733242,292.2633333333333,17.003352283855364,11.066666666666665,0.9498537899183328,0.56,0.4963869458396333,310.15,19.226219077083254,12.95,1.0460242189675464,0.4666666666666667,0.4988876515698591
840,197.1233333333333,1.6496834713227668,1.0,0.0,0.9866666666666668,0.11469767022723465,208.16666666666663,4.451092250473161,2.833333333333333,0.3726779962499654,0.9333333333333332,0.2494438257849303,230.7733333333333,8.424683310895961,4.796666666666667,0.4106769479232487,0.8066666666666666,0.3949120858565303,251.66,12.504042013151851,6.9433333333333325,0.7258022381399014,0.6933333333333334,0.4611097724210821,272.2033333333333,14.245770912410775,8.863333333333333,0.8029044498292165,0.62,0.4853864439804634,291.3233333333333,17.20209644846296,11.016666666666667,0.9572820320516232,0.5166666666666667,0.4997221450188326,309.3233333333333,19.3889690861124,12.92,1.048935968811571,0.53,0.4990991885387121
850,197.2633333333333,1.5960332772916217,1.0,0.0,0.99,0.099498743710662,207.99666666666667,4.357750439032609,2.8266666666666667,0.3785351884420902,0.94,0.23748684174075854,230.1833333333333,8.553150816447058,4.78,0.4300387579432045,0.8433333333333334,0.3634862063713317,251.0,12.281693694275232,6.933333333333334,0.7180219742845991,0.6633333333333333,0.4725698067187768,271.20666666666665,14.163237231963912,8.836666666666666,0.8144459602835691,0.62,0.4853864439804633,290.73,17.346577952629918,10.973333333333333,0.9862161133454596,0.5533333333333333,0.4971474183333907,308.2633333333333,19.29509407998718,12.89,1.0604558768127348,0.53,0.4990991885387121
860,197.43,1.561548376878963,1.0,0.0,0.99,0.09949874371066234,207.8,4.278629063925346,2.816666666666667,0.3869395588747973,0.97,0.17058722109231933,229.59666666666664,8.417481148710037,4.75,0.455521678957215,0.8133333333333334,0.3896437118987327,250.2733333333333,12.273221074989054,6.9,0.7461009761866464,0.7133333333333334,0.4522044768563099,270.3466666666667,14.275847513272971,8.8,0.8246211251235326,0.6033333333333334,0.4892057054268921,289.93,17.553112734403165,10.94,0.9676776322722374,0.5333333333333333,0.498887651569859,307.22,19.381561684583964,12.85,1.052378258992459,0.49,0.4998999899979988
870,197.53333333333333,1.5477582354991883,1.0,0.0,0.99,0.09949874371066288,207.6266666666667,4.095601977189128,2.8,0.3999999999999996,0.92,0.27129319932500984,228.86666666666667,8.254022588343746,4.743333333333333,0.459117510980456,0.8466666666666667,0.360308509783245,249.3733333333333,12.195379817327902,6.87,0.7526176541467348,0.6866666666666666,0.4638486343146393,269.30333333333334,14.387192993152714,8.75,0.8411301920630361,0.6333333333333333,0.4818944098266994,288.81666666666666,17.657190854971493,10.883333333333333,0.9813539400010359,0.5666666666666667,0.49553562491061603,306.19,19.513257886199668,12.8,1.0645812948447548,0.5166666666666667,0.4997221450188325
880,197.67,1.5125365009369758,1.0,0.0,0.99,0.09949874371066278,207.44666666666663,3.973305369029111,2.79,0.407308237088326,0.9333333333333332,0.2494438257849297,228.20666666666668,8.26098998640935,4.726666666666667,0.4675705532026405,0.8233333333333334,0.3813863599495347,248.67666666666668,12.05758912700029,6.8533333333333335,0.7605845705040893,0.7,0.4582575694955854,268.4033333333333,14.54306211069579,8.72,0.8455373045190455,0.6033333333333334,0.4892057054268921,287.7633333333333,17.30358312283583,10.85,0.9699656351300968,0.5566666666666666,0.4967785108968461,304.78,19.54119409520991,12.73,1.078780175321492,0.53,0.499099188538712
890,197.77666666666667,1.4900074571028918,1.0,0.0,0.99,0.09949874371066213,207.37,3.94965399328431,2.78,0.4142463035441605,0.92,0.27129319932501,227.6266666666667,8.05526466907754,4.703333333333333,0.4781794177456348,0.7766666666666666,0.41647995816792416,247.93666666666667,11.935073895409651,6.836666666666668,0.7637553418616618,0.7233333333333334,0.4473502232280897,267.41,14.611476083316616,8.69,0.8409716602438734,0.5666666666666667,0.4955356249106161,286.62,17.26351451279065,10.813333333333333,0.9721911106133176,0.56,0.4963869458396336,303.6433333333333,19.342598641915274,12.693333333333333,1.08287682689317,0.53,0.49909918853871205
900,197.89666666666668,1.4557892094057543,1.0,0.0,0.9833333333333332,0.1280190957978103,207.28333333333333,3.8725171257063375,2.783333333333333,0.41197356981027533,0.92,0.2712931993250099,227.05,8.210207061944296,4.69,0.4836320915737497,0.8133333333333334,0.3896437118987325,247.07,12.093735292842045,6.8133333333333335,0.7605845705040889,0.7266666666666667,0.4456705310228882,266.78333333333336,14.731702398418028,8.653333333333334,0.8444853791247979,0.6433333333333333,0.479015193449597,285.25,17.179857391724767,10.786666666666667,0.9701317207243354,0.52,0.4995998398718727,302.53333333333336,19.574700224751552,12.646666666666668,1.0840459194866023,0.54,0.498397431775085
910,198.00333333333333,1.424776785636577,1.0,0.0,0.9933333333333332,0.0813770374382246,207.16333333333333,3.7775638828336056,2.776666666666667,0.41647995816792416,0.9566666666666668,0.20360637405433946,226.56666666666663,8.24856889944485,4.68,0.4874423042781589,0.8166666666666667,0.3869395588747973,246.12,11.820840353657884,6.78,0.7560423268574311,0.7566666666666667,0.4290946541524636,265.73,14.66891611537812,8.623333333333333,0.8414999834950823,0.7,0.4582575694955854,283.78333333333336,17.271452039581252,10.713333333333333,0.998910517625188,0.6066666666666667,0.4884897360459303,301.16333333333336,19.557521713027846,12.583333333333336,1.0968388922515258,0.54,0.498397431775085
920,198.1,1.3940349110884314,1.0,0.0,0.9966666666666668,0.05763872155263505,207.02666666666667,3.7752645234767597,2.7533333333333334,0.4310710176087249,0.9366666666666666,0.2435615368284213,226.3,8.314445261110329,4.676666666666667,0.4886603000949513,0.8266666666666667,0.3785351884420901,245.48666666666668,11.792786872585385,6.753333333333333,0.7653902417866479,0.7366666666666667,0.4404416974911538,264.88,14.800639625817974,8.613333333333333,0.8429050295785931,0.63,0.482804308182932,282.6166666666667,17.280327607491188,10.673333333333334,1.0165081843688666,0.5666666666666667,0.4955356249106161,299.83666666666664,19.4623565433948,12.553333333333333,1.1107755048713597,0.58,0.4935585071701226
930,198.18666666666667,1.3705797637820591,1.0,0.0,0.98,0.13999999999999987,206.90666666666667,3.6992732018901004,2.74,0.4386342439892259,0.91,0.28618176042508303,225.70666666666668,8.079229886292111,4.66,0.5010655313096949,0.8933333333333333,0.3086889840744058,244.72666666666663,11.66041546810786,6.703333333333332,0.7715712684011915,0.7366666666666667,0.440441697491154,263.71666666666664,14.821259130796626,8.586666666666666,0.8578008056782311,0.6866666666666666,0.4638486343146394,281.59,17.228133000028382,10.643333333333333,1.027678073241918,0.5633333333333334,0.4959726694979163,298.6566666666667,19.319734010131246,12.493333333333334,1.1150286493578931,0.5366666666666666,0.498653743148045
940,198.27,1.310381623802776,1.0,0.0,0.99,0.09949874371066206,206.71,3.6940357334492617,2.723333333333333,0.4473502232280897,0.95,0.21794494717703303,225.31333333333333,8.060716814003303,4.65,0.5041494487418063,0.8266666666666667,0.3785351884420904,243.99,11.603012539853607,6.68,0.7858753081755401,0.7366666666666667,0.4404416974911542,262.55,14.554294898757545,8.536666666666667,0.8652488402509169,0.6166666666666667,0.4861984048604936,280.49333333333334,17.121622456868838,10.603333333333332,1.0129110962413688,0.5666666666666667,0.49553562491061603,297.44,19.26481421313651,12.426666666666666,1.1451152295244746,0.5966666666666667,0.4905665658761871
950,198.36666666666667,1.2458821060687186,1.0,0.0,0.99,0.09949874371066203,206.51666666666668,3.5744074878067424,2.7066666666666666,0.4552898954390377,0.9466666666666668,0.2246973272847034,224.96,7.964822659670457,4.63,0.5161718060232783,0.8133333333333334,0.3896437118987327,243.31333333333333,11.564103462391227,6.66,0.7817075326915212,0.79,0.407308237088326,261.2033333333333,14.544712288510745,8.483333333333333,0.8849042634972206,0.6966666666666667,0.4596979684773718,279.29,17.143683968155734,10.576666666666666,1.0315629996380349,0.6466666666666666,0.4780051138731554,296.3566666666667,19.30568453993682,12.393333333333333,1.1512119217975854,0.5933333333333334,0.4912116538610306
960,198.43666666666667,1.2107802810125694,1.0,0.0,0.9966666666666668,0.0576387215526351,206.25333333333333,3.4528957251687893,2.6933333333333334,0.4611097724210821,0.96,0.19595917942265387,224.46,7.871154087341115,4.596666666666667,0.5234394796811651,0.82,0.38418745424597145,242.47,11.471810377326376,6.633333333333334,0.7738791177495931,0.7766666666666666,0.416479958167924,259.99,14.548421449307373,8.456666666666667,0.8839997486173603,0.7033333333333334,0.4567883049680183,277.8933333333333,17.046073513340893,10.506666666666666,1.0343865600226794,0.6133333333333333,0.4869861964733241,295.4,19.513072541247833,12.333333333333336,1.1699952516522825,0.54,0.498397431775085
970,198.51,1.2013464668168476,1.0,0.0,1.0,0.0,206.14,3.385321255065758,2.6733333333333333,0.4689941956523071,0.9666666666666668,0.1795054935711505,223.84,7.897746514038039,4.553333333333334,0.5358689723762287,0.83,0.375632799419859,241.75666666666663,11.480016937656893,6.573333333333332,0.7775745766305772,0.7833333333333333,0.4119735698102753,259.2133333333333,14.396335953599058,8.446666666666667,0.8834528221070378,0.6433333333333333,0.4790151934495971,276.63666666666666,17.13217213963898,10.45,1.0743214912988868,0.57,0.495075751779462,294.1333333333333,19.428730158081763,12.286666666666667,1.1681133887122803,0.5233333333333333,0.4994552588125946
980,198.58,1.1648748144471752,1.0,0.0,0.9933333333333332,0.08137703743822458,205.94666666666663,3.2706506318400206,2.6666666666666665,0.4714045207910322,0.9566666666666668,0.20360637405433973,223.48,7.815130623775055,4.55,0.5361902647381803,0.8533333333333334,0.3537733109712417,240.94333333333333,11.499860385625944,6.53,0.8015193904911686,0.7533333333333333,0.4310710176087247,258.12666666666667,14.350515283044329,8.393333333333333,0.9157631911265184,0.67,0.4702127178203497,275.58666666666664,17.15602388537494,10.41,1.0902140462618624,0.6066666666666667,0.4884897360459303,292.7933333333333,19.455006782031433,12.24,1.1700712229034032,0.5266666666666666,0.4992883824894079
990,198.65,1.1287899125464718,1.0,0.0,1.0,0.0,205.8033333333333,3.1976015317039668,2.6533333333333333,0.4759084879353255,0.96,0.195959179422654,222.9333333333333,7.74266678147064,4.543333333333333,0.5367701763531778,0.8333333333333334,0.3726779962499656,240.08666666666667,11.369806018085306,6.496666666666667,0.8020737012408664,0.7633333333333333,0.4250359461922667,256.92,14.226510464622027,8.346666666666666,0.9236642006462916,0.6633333333333333,0.4725698067187769,274.5933333333333,17.30032626538844,10.353333333333332,1.1203372508113585,0.62,0.4853864439804633,291.31333333333333,19.24045622004728,12.19,1.1721348045340156,0.58,0.4935585071701226
1000,198.72333333333333,1.0924539146140446,1.0,0.0,0.9933333333333332,0.0813770374382246,205.75666666666663,3.1881220525918037,2.6333333333333333,0.4818944098266995,0.9466666666666668,0.224697327284704,222.47,7.713349899146718,4.536666666666667,0.5372667452537491,0.85,0.3570714214271432,239.25666666666663,11.38057360397777,6.46,0.817557337438788,0.73,0.4439594576084612,255.77666666666667,14.277725853775015,8.3,0.9255628917943224,0.6733333333333333,0.4689941956523071,273.41333333333336,17.403519439725073,10.293333333333333,1.1227743416297948,0.6466666666666666,0.4780051138731553,290.30333333333334,19.35022796305569,12.13,1.1831173511814743,0.5466666666666666,0.4978174587358521
1010,198.7633333333333,1.083507678278692,1.0,0.0,1.0,0.0,205.6266666666667,3.149701925932386,2.6133333333333333,0.4869861964733242,0.9633333333333334,0.1879420714534727,221.86666666666667,7.66347759759816,4.513333333333334,0.550595637065493,0.8666666666666667,0.3399346342395184,238.39333333333332,11.285032368387592,6.41,0.8257723657279892,0.7466666666666667,0.4349201714746698,254.84,14.150420488451926,8.24,0.9286549412995112,0.7133333333333334,0.4522044768563103,272.2733333333333,17.453899914409448,10.236666666666666,1.1287111627377877,0.63,0.4828043081829319,289.12666666666667,19.45106566632162,12.07,1.1965645267459115,0.6,0.4898979485566344
1020,198.84333333333333,1.0386476249859156,1.0,0.0,0.9833333333333332,0.1280190957978102,205.45666666666668,3.1466578389706688,2.6066666666666665,0.4952664827028874,0.9466666666666668,0.22469732728470346,221.53,7.655658038340005,4.496666666666667,0.5627215613032379,0.8233333333333334,0.3813863599495347,237.63666666666663,11.144415143419995,6.3566666666666665,0.8422918470195203,0.7966666666666666,0.4024784328245301,253.9633333333333,14.089309974429396,8.206666666666667,0.947253339339003,0.7033333333333334,0.4567883049680178,271.05,17.434663747832914,10.186666666666667,1.1482547142898607,0.66,0.473708771293081,287.5433333333333,18.934134666140825,12.006666666666666,1.1916188801607464,0.6233333333333333,0.4845501923319082
1030,198.92333333333332,1.0086900195578197,1.0,0.0,0.99,0.09949874371066236,205.31,3.0332435884159863,2.5966666666666667,0.4973150130673942,0.9566666666666668,0.20360637405433984,220.94666666666663,7.488023029404278,4.476666666666667,0.5797604869445867,0.8766666666666667,0.3288194371113452,236.83333333333331,11.174325731584682,6.32,0.8471127433818946,0.7766666666666666,0.4164799581679245,253.10666666666665,13.884834252601733,8.166666666666666,0.979228721437892,0.73,0.4439594576084612,269.8333333333333,17.232688575946455,10.15,1.1521718621802903,0.6433333333333333,0.4790151934495973,286.38,18.76065741563089,11.956666666666667,1.1894489854083221,0.6833333333333333,0.4651761912317613
1040,198.97,0.9945350672550471,1.0,0.0,1.0,0.0,205.17333333333332,2.9523926267050244,2.58,0.5002665955934561,0.9666666666666668,0.1795054935711505,220.44333333333333,7.335765505763905,4.47,0.5851780355868924,0.9066666666666666,0.2908989897236193,235.96,11.09166654144754,6.276666666666666,0.8486001545028279,0.7333333333333333,0.4422166387140519,252.11666666666667,13.697313199634769,8.126666666666667,0.988579227421298,0.7533333333333333,0.4310710176087245,268.98333333333335,17.33675447007183,10.113333333333333,1.1577948388591508,0.6166666666666667,0.4861984048604936,285.11,18.89862164286063,11.866666666666667,1.2009255689767877,0.61,0.4877499359302882
1050,199.02666666666667,0.9518169758706546,1.0,0.0,0.9966666666666668,0.05763872155263521,204.97333333333333,2.901601090585828,2.55,0.5041494487418059,0.9766666666666668,0.1509598916563234,220.14666666666668,7.323375056776909,4.46,0.5902541825349495,0.88,0.3249615361854376,235.37,10.910534664564643,6.246666666666667,0.8519520069946568,0.76,0.4270831300812527,251.10666666666665,13.638986602953885,8.1,0.9949874371066196,0.71,0.4537620521815369,267.93666666666667,17.350676900020034,10.046666666666667,1.1794725751604223,0.63,0.4828043081829319,283.58,18.79442115806355,11.806666666666667,1.1871347391466955,0.6233333333333333,0.4845501923319083
1060,199.07,0.9229120579267897,1.0,0.0,0.9933333333333332,0.08137703743822483,204.8766666666667,2.88584861387811,2.533333333333333,0.505525029603437,0.9566666666666668,0.20360637405434004,219.47666666666663,7.173756957751559,4.4366666666666665,0.5938480913125478,0.9133333333333332,0.28134597128012234,234.69,10.74463742214382,6.203333333333332,0.8536132353446454,0.7833333333333333,0.4119735698102751,250.08666666666667,13.589180336658366,8.063333333333333,1.0029899744707746,0.7533333333333333,0.4310710176087244,266.84,17.230043528673974,9.976666666666668,1.1955984089800225,0.6266666666666667,0.4836895239257875,282.24333333333334,18.71320716024441,11.72,1.2281150868980728,0.62,0.4853864439804634
1070,199.1,0.9146948489341482,1.0,0.0,0.9933333333333332,0.0813770374382246,204.72666666666663,2.830539799323716,2.53,0.5057337903152876,0.9666666666666668,0.17950549357115053,218.91666666666663,6.992118578958897,4.423333333333333,0.5978758696883139,0.8766666666666667,0.32881943711134554,233.92333333333332,10.50733659031737,6.166666666666668,0.8517954892787092,0.7966666666666666,0.40247843282453,249.13333333333333,13.536699088855533,8.026666666666667,1.016180211489195,0.7233333333333334,0.4473502232280897,265.5566666666667,17.222082400866107,9.913333333333334,1.1772095065119976,0.7033333333333334,0.456788304968018,280.94666666666666,18.570509476646627,11.656666666666665,1.229683789525674,0.6133333333333333,0.4869861964733241
1080,199.17333333333332,0.8582669877271435,1.0,0.0,0.9966666666666668,0.057638721552635025,204.6,2.7820855486487086,2.506666666666667,0.5065789397736774,0.9866666666666668,0.11469767022723493,218.35,6.798100224817714,4.4,0.5999999999999996,0.8566666666666667,0.3504124553849202,233.21666666666667,10.318739694792624,6.133333333333334,0.841955396021006,0.7933333333333333,0.4049142570416048,248.1833333333333,13.277665039037881,8.01,1.0181191809737535,0.72,0.4489988864128734,264.45,16.928501607250016,9.866666666666667,1.1642832797715317,0.7,0.4582575694955853,279.62,18.240493414378896,11.623333333333333,1.2307676014946491,0.5566666666666666,0.4967785108968461
1090,199.21,0.8559010846275816,1.0,0.0,1.0,0.0,204.50666666666663,2.729460671186816,2.493333333333333,0.5065789397736773,0.9533333333333334,0.2109238935940851,217.87,6.709180277798473,4.3566666666666665,0.6240637431829829,0.8833333333333333,0.3210226714043031,232.61666666666667,10.10559525983282,6.083333333333332,0.8503267345882736,0.8533333333333334,0.3537733109712421,247.01666666666668,13.087515255217685,7.9433333333333325,1.013305920681849,0.73,0.4439594576084612,263.30333333333334,16.67527077907749,9.813333333333333,1.1825772232242973,0.6933333333333334,0.4611097724210821,278.06666666666666,18.289766416101546,11.57,1.251039567719585,0.6033333333333334,0.4892057054268921
1100,199.25333333333333,0.8381461023526227,1.0,0.0,0.99,0.09949874371066207,204.38,2.7084312802801485,2.49,0.506524102749974,0.97,0.17058722109231922,217.56,6.636746190717258,4.336666666666667,0.6298059665925339,0.8933333333333333,0.3086889840744059,231.8233333333333,10.057772561004189,6.05,0.845083822272481,0.8033333333333333,0.3974781615244908,246.11,13.183495995625234,7.906666666666666,1.0155239479642424,0.7333333333333333,0.442216638714052,262.1,16.353898617760848,9.713333333333333,1.1738067226857325,0.71,0.4537620521815369,276.7,18.026184658250152,11.51,1.2688183479127348,0.6,0.4898979485566344
1110,199.28,0.8215432632146209,1.0,0.0,0.9966666666666668,0.05763872155263504,204.29666666666665,2.704685235331873,2.47,0.5057337903152876,0.9866666666666668,0.11469767022723487,217.03333333333333,6.439375401042831,4.316666666666666,0.6295942255841372,0.9033333333333332,0.29550333707459586,231.1833333333333,9.830041821997618,6.003333333333333,0.8306556981619335,0.85,0.3570714214271433,245.1233333333333,13.028486310986226,7.836666666666668,1.0311751656349286,0.7866666666666666,0.40966110655299204,260.88,16.186175171011428,9.636666666666667,1.2074721068782028,0.65,0.4769696007084734,275.52666666666664,18.08855869204498,11.46,1.2813014217323462,0.59,0.4918333050943182
1120,199.29,0.8201016197195752,1.0,0.0,1.0,0.0,204.15,2.5795671471521477,2.45,0.504149448741806,0.9933333333333332,0.08137703743822491,216.6233333333333,6.2611065759620725,4.283333333333333,0.6295942255841384,0.87,0.3363034344160046,230.60666666666665,9.876839350498493,5.9766666666666675,0.8501699176569885,0.8366666666666667,0.3696695220809463,244.35,13.092268710960687,7.8,1.026320287889376,0.7266666666666667,0.44567053102288817,259.5366666666667,15.996103344946928,9.56,1.21095004025765,0.68,0.4664761515876253,274.3666666666667,17.950085112766327,11.39,1.2875946567146044,0.6166666666666667,0.4861984048604936
1130,199.34,0.8027452896155781,1.0,0.0,0.9933333333333332,0.08137703743822493,204.03333333333333,2.544056253745623,2.4233333333333333,0.5007882675232009,0.9733333333333334,0.16110727964792812,216.23666666666668,6.2960825562849525,4.256666666666667,0.6512466677244662,0.9366666666666666,0.2435615368284211,229.88666666666663,9.69332187069473,5.9433333333333325,0.8446629834173845,0.8066666666666666,0.3949120858565303,243.49666666666667,13.28771320514641,7.7333333333333325,1.0687479694587607,0.76,0.4270831300812527,258.3533333333333,16.069904238116113,9.5,1.2423096769056148,0.7266666666666667,0.4456705310228883,273.08,17.817040532404175,11.313333333333333,1.2942780055133272,0.6133333333333333,0.4869861964733241
1140,199.35666666666665,0.789169746562102,1.0,0.0,0.9966666666666668,0.05763872155263512,203.88666666666663,2.4980970535367306,2.3966666666666665,0.5026485407872548,0.98,0.13999999999999987,215.77,6.1506449526316604,4.233333333333333,0.6574360974438663,0.9166666666666666,0.27638539919628285,229.18,9.664415829905776,5.903333333333332,0.8683253358556875,0.8133333333333334,0.3896437118987326,242.94666666666663,13.37374874728682,7.69,1.0926573113286695,0.77,0.42083250825001695,257.24,15.916942755022607,9.456666666666667,1.2361724079683305,0.6833333333333333,0.4651761912317613,271.6,17.468447746341592,11.253333333333336,1.3300960700474078,0.6366666666666667,0.4809596887705066
1150,199.38333333333333,0.7808471183415002,1.0,0.0,0.9966666666666668,0.057638721552635185,203.79666666666665,2.4729177548439027,2.39,0.5012318159627679,0.9733333333333334,0.16110727964792818,215.36,6.046244013159472,4.19,0.6737210105080594,0.9066666666666666,0.2908989897236193,228.59333333333333,9.589297274681924,5.863333333333332,0.8744458562744504,0.85,0.3570714214271432,242.0733333333333,13.309944486068385,7.64,1.0971478174491056,0.7533333333333333,0.4310710176087247,256.22,15.81934259063884,9.376666666666667,1.24691174061715,0.68,0.4664761515876253,270.41333333333336,17.344427219010598,11.18,1.3469471655067495,0.6566666666666666,0.4748216039267335
1160,199.41666666666663,0.7635807459303551,1.0,0.0,0.9966666666666668,0.0576387215526351,203.70333333333332,2.422530816224133,2.3833333333333333,0.4997221450188312,0.97,0.1705872210923193,214.8766666666667,5.929147399828151,4.173333333333333,0.6707872654989475,0.9066666666666666,0.2908989897236193,227.95333333333332,9.426442713039856,5.843333333333334,0.8862593049190264,0.8233333333333334,0.3813863599495346,241.27,13.28948581899741,7.586666666666668,1.1086728803193289,0.7466666666666667,0.4349201714746698,255.12,15.67882648669855,9.306666666666667,1.2244545270808906,0.6766666666666666,0.4677487454701376,268.9033333333333,17.438099730825666,11.116666666666667,1.3452591654481385,0.63,0.4828043081829319
