,eta=1,eta=1,eta=1,eta=1,eta=1,eta=1,eta=2,eta=2,eta=2,eta=2,eta=2,eta=2,eta=3,eta=3,eta=3,eta=3,eta=3,eta=3
,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
150,127.72333333333331,4.7067457500438215,4.973333333333334,0.1611072796479277,0.22333333333333333,0.41647995816792416,133.20666666666668,3.888953015344305,4.99,0.0994987437106622,0.2533333333333333,0.4349201714746699,133.3,3.2326459750489205,4.99,0.09949874371066253,0.21333333333333332,0.40966110655299204
160,134.47,4.952013058679606,4.976666666666667,0.1509598916563234,0.20666666666666667,0.4049142570416048,140.82,4.257651935045889,4.986666666666666,0.11469767022723495,0.21333333333333332,0.40966110655299204,140.76,3.7187453081202975,4.99,0.09949874371066253,0.2766666666666667,0.4473502232280897
170,140.70666666666668,5.0722074966319015,4.98,0.1399999999999999,0.25,0.4330127018922193,148.03333333333333,4.674636052381211,4.993333333333333,0.0813770374382247,0.27,0.4439594576084611,148.1,3.7651914515289495,4.99,0.09949874371066253,0.31666666666666665,0.4651761912317613
180,146.54,5.3816106634848,4.983333333333333,0.12801909579781032,0.2933333333333333,0.4552898954390377,155.1233333333333,5.0167840517828015,4.993333333333333,0.0813770374382247,0.2933333333333333,0.4552898954390378,155.5,3.8100743649785467,4.993333333333333,0.08137703743822483,0.2733333333333333,0.4456705310228882
190,152.28,5.634560024231411,4.986666666666666,0.11469767022723483,0.3366666666666667,0.4725698067187767,162.07333333333332,5.258766226238076,4.996666666666667,0.05763872155263521,0.2833333333333333,0.450616861153193,162.47333333333333,4.126655896593377,4.996666666666667,0.057638721552635074,0.29,0.4537620521815369
200,157.82333333333332,5.913723211499013,4.993333333333333,0.08137703743822501,0.3533333333333333,0.4780051138731555,168.67666666666668,5.647311061223937,4.996666666666667,0.05763872155263521,0.26666666666666666,0.44221663871405226,169.21666666666667,4.390488456753857,4.996666666666667,0.057638721552635074,0.30666666666666664,0.4611097724210821
210,163.30666666666667,6.158946518863616,4.993333333333333,0.08137703743822501,0.2966666666666667,0.4567883049680179,175.17,5.882836617369777,4.996666666666667,0.05763872155263521,0.32,0.4664761515876253,175.95666666666668,4.455871282800803,4.996666666666667,0.057638721552635074,0.35,0.4769696007084732
220,168.35,6.297684759761583,4.993333333333333,0.08137703743822501,0.29,0.4537620521815371,181.68666666666667,6.105884229349767,4.996666666666667,0.05763872155263521,0.33,0.4702127178203495,182.68,4.744568824807304,4.996666666666667,0.057638721552635074,0.3333333333333333,0.4714045207910322
230,173.02333333333337,6.492261205123798,4.993333333333333,0.08137703743822501,0.3133333333333333,0.4638486343146394,187.77666666666667,6.2955107462028455,4.996666666666667,0.05763872155263521,0.4,0.4898979485566343,189.17,5.047880743440755,4.996666666666667,0.057638721552635074,0.3233333333333333,0.4677487454701377
240,177.77,6.505159490742716,4.993333333333333,0.08137703743822501,0.31666666666666665,0.4651761912317613,193.8033333333333,6.681166731109835,4.996666666666667,0.05763872155263521,0.3933333333333333,0.4884897360459303,195.45,5.3179726713601445,4.996666666666667,0.057638721552635074,0.4166666666666667,0.4930066485916356
250,182.32,6.640602382314426,4.996666666666667,0.05763872155263504,0.38,0.4853864439804632,199.77666666666667,6.858094163508947,4.996666666666667,0.05763872155263521,0.33,0.4702127178203495,201.68,5.675467675296315,4.996666666666667,0.057638721552635074,0.36,0.4800000000000004
260,186.49,6.864636431256463,4.996666666666667,0.05763872155263504,0.42,0.4935585071701226,205.3533333333333,7.312215046679696,4.996666666666667,0.05763872155263521,0.43,0.495075751779462,207.79666666666665,5.826547481618558,4.996666666666667,0.057638721552635074,0.3933333333333333,0.4884897360459303
270,190.52,7.291748761442622,4.996666666666667,0.05763872155263504,0.3533333333333333,0.4780051138731557,210.88666666666663,7.582468082505996,4.996666666666667,0.05763872155263521,0.39,0.4877499359302884,213.7633333333333,6.180667889116482,4.996666666666667,0.057638721552635074,0.39,0.4877499359302882
280,194.18666666666667,7.356526958347183,4.996666666666667,0.05763872155263504,0.43666666666666665,0.4959726694979164,216.09333333333333,7.9522295965066,4.996666666666667,0.05763872155263521,0.43333333333333335,0.4955356249106159,219.6266666666667,6.3791814173572075,4.996666666666667,0.057638721552635074,0.36666666666666653,0.4818944098266996
290,197.85666666666665,7.479936868420451,4.996666666666667,0.05763872155263504,0.39666666666666667,0.4892057054268921,221.25,8.044511586582907,4.996666666666667,0.05763872155263521,0.4266666666666667,0.4945929864264369,225.39,6.765936742240496,4.996666666666667,0.057638721552635074,0.43333333333333335,0.49553562491061603
300,201.28333333333333,7.808311099221277,5.0,0.0,0.43333333333333335,0.49553562491061603,226.3766666666667,8.319542588922106,4.996666666666667,0.05763872155263521,0.4266666666666667,0.4945929864264369,230.88333333333333,7.016864605284106,4.996666666666667,0.057638721552635074,0.4166666666666667,0.4930066485916356
310,204.5733333333333,8.048061188192403,5.0,0.0,0.42,0.4935585071701226,231.19,8.542086005966768,4.996666666666667,0.05763872155263521,0.43666666666666665,0.4959726694979164,236.3,7.198379447255237,5.0,0.0,0.4533333333333333,0.4978174587358523
320,207.2133333333333,8.155232812263684,4.996666666666667,0.05763872155263512,0.4833333333333333,0.49972214501883094,235.66333333333333,8.795263245381319,4.996666666666667,0.05763872155263521,0.4833333333333333,0.49972214501883094,241.6533333333333,7.2461361351335976,5.0,0.0,0.42,0.4935585071701226
330,209.81666666666663,8.375941074821915,4.993333333333333,0.0813770374382248,0.4733333333333333,0.4992883824894079,240.1533333333333,8.897367900427382,4.996666666666667,0.05763872155263521,0.5233333333333333,0.4994552588125946,246.64,7.504913945764697,5.0,0.0,0.52,0.4995998398718727
